Name,Field(s),Dates,Notes
Helen Octavia Dickens,,1909-2001,"physician
First African-American woman to be admitted to the American College of Surgeons"
Georgia Mae Dunston,,1944-,"Human Geneticist
Professor at Howard University and founder of the National Human Genome Center"
Annie Easley,,1933-2011,"mathematician and rocket scientist
Leading member of the software development team for the Centaur rocket stage, and one of the first African-Americans to work at NASA"
Cecile H. Edwards,,1926-2005,"nutritionist
Researcher focused on improving nutrition and well-being of disadvantaged people"
Joycelyn Elders,,1933-,"pediatrician
Second woman, second person of color, and first African American to serve as Surgeon General"
Lola Eniola-Adefeso,,,"chemical engineer
Co-founder and chief scientific officer of Asalyxa Bio, researcher of biocompatible functional particles for targeted drug delivery"
Anna Epps,,1930-,"microbiologist
first female dean of the School of Medicine at Meharry Medical College, possibly the first African-American woman with a PhD to lead a medical school"
Jeanette J. Epps,,1970-,"astronaut and aerospace engineer
Second woman and first African-American woman to have participated in CAVES"
Aprille Ericsson-Jackson,,1963-,"aerospace engineer
First African-American woman to receive a Ph.D. in mechanical engineering from Howard University and the first African-American woman to receive a Ph.D. in Engineering at the National Aeronautics and Space Administration (NASA) Goddard Space Flight Center"
Brittney Exline,,,"software engineer
Youngest African-American female to be accepted into an Ivy League school, at 15; United States' youngest African-American engineer"
Cassandra Extavour,,,"evolutionary biologist
Director of EDEN, a national research collaborative encouraging use of non- Drosophila model organisms"
Etta Zuber Falconer,,1933-2002,"mathematician
One of the earlier African-American women to receive a Ph.D. in mathematics"
Angella D. Ferguson,,1925-,"pediatrician
Pioneer researcher of sickle cell disease, created the blood test which is still used as the standard for sickle cell detection at birth"
Evelyn J. Fields,,1949-,"oceanographer
Fields was the first woman, and first African American to head the NOAA Corps, first woman and first African American to command a NOAA ship, and the first woman to command a ship in the United States uniformed services for an extended assignment"
Njema Frazier,,1974-,"nuclear physicist
Nuclear physicist as National Nuclear Security Administration, former staff member for the Committee on Science at the U.S. House of Representatives"
A. Oveta Fuller,,1955-2022,"virologist
Researcher who significantly advanced knowledge of Herpes simplex virus"
Timnit Gebru,,1983-,"computer scientist
Founder of the Distributed Artificial Intelligence Research Institute (DAIR), researcher of algorithmic bias and data mining"
Gloria Ford Gilmer,,1928-2021,"mathematician
First African American woman to publish a non-PhD thesis"
Sarah E. Goode,,1855-1905,"inventor
One of the first known African American women to receive a United States patent"
Evelyn Boyd Granville,,1924-2023,"mathematician, computer science
Performed pioneering work in the field of computing"
Bettye Washington Greene,,1935-1995,"chemist
First African American female Ph.D. chemist to work in a professional position at the Dow Chemical Company, considered an early African American pioneer in science"
Eliza Ann Grier,,1864-1902,"physician
First African American woman licensed to practice medicine in the U.S. state of Georgia"
Margaret Grigsby,,1923-2009,"physician
First African American woman to become a fellow of the American College of Physicians and the first woman to preside over a major medical division at Howard University Hospital"
Bessie Blount Griffin,,1914-2009,"physical therapist, inventor
Holder of multiple patents for assistive devices for amputees, including the first electric device for self-feeding"
Sossina M. Haile,,1966-,"materials scientist
Developed the first solid acid fuel cells"
Betty Harris,,1940-,"chemist
Patented a spot test for detecting TATB in the field, still used by the Federal Department of Homeland Security to screen for nitroaromatic explosives"
Paula T. Hammond,,1963-,"Chemical Engineer
Koch Professor of Engineering, Department Head of Chemical Engineering, Koch Institute of Integrative Cancer Research, MIT"
Mary Styles Harris,,1949-,"geneticist
one of the first African Americans to enroll at Miami Jackson High School; one of the first women to enroll at Lincoln University; founder of BioTechnical Communications"
Alma Levant Hayden,,1927-1967,"chemist
one of the first African-American women to gain a scientist position at a science agency (The NIH) in Washington, D.C.; may have been the first African-American scientist at the FDA; led the team that exposed the common substance in Krebiozen"
Euphemia Lofton Haynes,,1890-1980,"mathematician
First African-American woman to earn a PhD in Mathematics"
Ruby Puryear Hearn,,1940-,"biophysicist
Researcher and advocate for maternal, infant, and child health; AIDS; substance abuse; and minority medical education"
Gloria Conyers Hewitt,,1935-,"mathematician
4th African-American woman to receive a Ph.D. in mathematics; first African American woman to chair a math department in the United States"
Mary Elliott Hill,,1907-1969,"chemist
Believed to be one of the first African-American women to be awarded with a master's degree in chemistry"
Stephanie Hill,,,"engineer
Vice president and general manager of Lockheed Martin's Information Systems & Global Solutions"
Jane Hinton,,1919-2003,"veterinarian
pioneer in the study of bacterial antibiotic resistance and one of the first two African-American women to gain the degree of Doctor of Veterinary Medicine; co-developed the Mueller-Hinton agar"
Esther A. H. Hopkins,,1926-2021,"chemist, lawyer
Best known for her career as a biophysicist and research chemist at American Cyanamid along with research in the Polaroid Corp Emulsion Coating and Analysis Laboratory"
Ruth Winifred Howard,,1900-1997,"psychologist
One of the first African American women to earn a Ph.D. in Psychology"
Fern Hunt,,1948-,"mathematician
Leader in applied mathematics and mathematical biology research"
Yasmin Hurd,,,"neuroscientist
Researcher of neurological effects of cannabis and heroin"
Jedidah Isler,,,"astrophysicist
First African-American woman to complete her PhD in astrophysics at Yale; member of Joe Biden's presidential transition Agency Review Team; founder of Vanguard: Conversations with Women of Color in STEM (VanguardSTEM)"
Nia Imara,,,"astrophysicist and artist
First African-American woman to earn a PhD in astrophysics at the University of California, Berkeley"
Deborah J. Jackson,,,"aeronautical engineer
First African American woman to receive a Ph.D. in physics from Stanford University"
Fatimah Jackson,,,"biological anthropologist
Researcher of human-plant co-evolution and anthropological genetics; first African-American to receive the Charles R. Darwin Lifetime Achievement Award"
Shirley Ann Jackson,,1946-,"physicist
President of Rensselaer Polytechnic Institute; first African-American woman to have earned a doctorate at MIT; second African-American woman in the United States to earn a doctorate in physics"
Chavonda Jacobs-Young,,1967-,"paper scientist
First African-American woman to earn a Ph.D. in paper science"
Mae Jemison,,1956-,"astronaut and physician
First African American woman to travel in space"
Allene Johnson,,1933-,"chemist
Educational advisor for the New Jersey American Chemical Society"
Ashanti Johnson,,,"geochemist and oceanographer
First African American to earn a doctoral degree in oceanography from Texas A&M University"
Katherine Johnson,,1918-2020,"mathematician
calculated the trajectories for many NASA missions, including Apollo 11; one of the first African-American women to work as a NASA scientist"
Tracy L. Johnson,,,"molecular and cell biologist
Researcher of gene regulation, chromatin modification, RNA splicing"
Anna Johnson Julian,,1903-1994,"sociologist
First African-American woman awarded a PhD in sociology by the University of Pennsylvania"
Lynda Marie Jordan,,1956-,"biochemist
Third Black woman to receive a Ph.D. from the Massachusetts Institute of Technology"
Angie Jones,,,"computer scientist, software engineer and automation architect
Software engineer with 26 patents in the United States and China"
Sinah Estelle Kelley,,1916-1982,"chemist
Worked on mass production of penicillin"
Mary Beatrice Davidson Kenner,,1912-2006,"inventor
Holder of five patents, including the adjustable sanitary belt"
Angie Turner King,,1905-2004,"chemist and mathematician
Professor of chemistry and mathematics at West Virginia State College"
Reatha King,,1938-,"chemistry
Former vice president of the General Mills Corporation; the former president, executive director, and chairman of the board of trustees of the General Mills Foundation"
Ruth G. King,,1933-,"Educational psychologist
First woman president of the Association of Black Psychologists"
Margaret Morgan Lawrence,,1914-2019,"pediatric psychiatrist
Researched negative psychological effects of segregation on Black children"
Katheryn Emanuel Lawson,,1926-2008,"radiochemist
One of the first few female African American chemists who worked in Sandia National Laboratories"
Lillian Burwell Lewis,,1904-1987,"zoolologist
First African-American woman to receive a doctorate degree from the University of Chicago"
Chekesha Liddell,,,"material science and engineering
Researcher of colloidal materials, and the relationship between micron and submicron length scales"
Ruth Smith Lloyd,,1917-1995,"anatomist
First African-American to earn a PhD in anatomy"
Farah Lubin,,,"Neuroscientist
Prominent researcher of epigenetic mechanisms underlying cognition"
Irene Long,,1951-2020,"aerospace medicine
First female chief medical officer at the Kennedy Space Center"
Beebe Steven Lynk,,1872-1948,"chemist
Professor of medical Latin botany and materia medica at the University of West Tennessee"
Shirley M. Malcom,,1946-,"science administrator
head of education and human resources programs at AAAS"
Harriet Marble,,1885-1966,"pharmacist
Early African-American woman pharmacist and the first in Kentucky"
Cora Bagley Marrett,,1942-,"sociologist, science administrator
Deputy director of the National Science Foundation"
Pamela McCauley-Bush,,,"Engineer
First African-American woman granted an engineering Ph.D. in the state of Oklahoma; U.S. Fulbright Scholar"
Dorothy McClendon,,1924-2013,"microbiologist
Developed methods to protect stored goods, notably fuel, from degradation due to biological agents"
Linda C. Meade-Tollin,,1944-,"biochemist
First female chairperson of the National Organization for the Professional Advancement of Black Chemists and Chemical Engineers; may have been first Black woman to graduate from CUNY with a biochem PhD."
Juanita Merchant,,,"physiologist
Contributed to understanding of gastric response to chronic inflammation; chief of the University of Arizona Division of Gastroenterology and Hepatology; inaugural member of the NIH Council of Councils"
Shireen Mitchell,,,"entrepreneur, author, technology analyst and diversity strategist
Founder of Digital Sisters/Sistas, Inc and Stop Online Violence Against Women"
Victorine Louistall Monroe,,1912-2006,"Professor Emerita of Library Science
first Black faculty member at West Virginia University"
Ruth Ella Moore,,1903-1994,"bacteriology
first African-American woman with PhD in a natural science, department head at Howard University"
Tanya Moore,,,"mathematician
Founder of Infinite Possibilities Conference;"
Willie Hobbs Moore,,1934-1994,"engineering, physics
first African American woman to receive a PhD in physics"
Shelia Nash-Stevenson,,,"Physicist, integration engineer
integration engineer for the Planetary Programs Missions Office at Marshall Space Flight Center"
Ann T. Nelms,,1929-,"nuclear physicist
Studied persistence of nuclear radioactivity which was cited in reports on nuclear fallout and human health"
Lyda D. Newman,,1885-,"Inventor
Patented novel durable hairbrush with synthetic bristles which is still used today"
Joan Murrell Owens,,1933-2011,"marine biologist
Described a new genus and three new species of button corals"
Melanie Harrison Okoro,,2009-,"environmental scientist
Okoro is known for her efforts in promoting diversity in STEM fields, and she has held multiple positions in several organizations related to diversity and inclusion. Okoro has served on the council of the American Geophysical Union as an early career scientist and was the Diversity & Inclusion task-force chair."
Carolyn Parker,,1917-1966,"mathematician, physicist
worked on the Dayton Project, the plutonium research and development arm of the Manhattan Project"
Jennie Patrick,,1949-,"chemical engineering
one of the first African American women in the United States to earn a doctorate in traditional chemical engineering; pioneer in supercritical fluid extraction"
Hattie Scott Peterson,,1913-1993,"civil engineer
believed to be the first African-American woman to gain a bachelor's degree in civil engineering"
Clarice Phelps,,,"nuclear chemist
first African-American woman to help discover a chemical element (tennessine)"
Vivian W. Pinn,,1941-,"pathologist
Director of the Office of Research on Women's Health at the National Institutes of Health (NIH)"
Chanda Prescod-Weinstein,,1982-,"theoretical physicist, astrophysicist, cosmologist, writer
possibly first African-American woman to hold a faculty position in theoretical cosmology"
Jessie Isabelle Price,,1930-2015,"veterinary microbiologist
isolated and reproduced the cause of the most common life-threatening disease in duck farming in the 1950s"
Sian Proctor,,,"African American explorer, scientist, STEM communicator, and aspiring astronaut
geology, sustainability and planetary science professor"
Johnnie Hines Watts Prothro,,1922-2009,"chemist
One of the first African American nutritionists and food scientists"
Lynnae Quick,,1984-,"planetary scientist, planetary geophysicist
Ocean worlds Planetary Scientist at NASA Goddard Space Flight Center; fifth African-American woman to receive a Ph.D. in planetary science; first African American staff scientist in the history of the Smithsonian Institution's Center for Earth and Planetary Studies, where she worked from 2017 to 2019; Asteroid 2001 SV 291 was renamed Asteroid 37349 Lynnaequick in honor of her work modeling cryovolcanic eruptions and faculae formation on Ceres. First African American to receive the American Astronomical Society's Harold C. Urey Prize which is the highest honor for young planetary scientists and recognizes outstanding achievement in the field of planetary science by an early career researcher."
Mary Logan Reddick,,1914-1966,"neuroembryologist, biologist
possibly the first African-American woman scientist to receive a fellowship to study abroad, and the first female biology instructor at Morehouse College"
Eslanda Goode Robeson,,1896-1965,"chemist
first black head histological chemist of Surgical Pathology at New York-Presbyterian Hospital"
Gladys W. Royal,,1926-2002,"chemist
One of the early African-American biochemists; part of one of the few African-American husband-and-wife teams in science"
Antoinette Rodez Schiesler,,1934-1996,"chemist
director of research at Villanova University"
Lyndsey Scott,,1984-,"computer programmer
lead iOS software engineer at NGO fundraiser Rallybound; first African American to sign an exclusive runway contract with Calvin Klein"
Alberta Jones Seaton,,1924-2014,"embryologist, biologist
One of the first African-American women awarded a doctorate in zoology, in Belgium in 1949."
Nashlie Sephus,,,"Artificial intelligence engineer
AI engineer, CTO of startup Partpic (acquired by Amazon) PhD from Georgia Institute of Technology, 2019 Ada Lovelace Award"
Cheryl L. Shavers,,1953-,"semiconductor engineering and management
first African-American Undersecretary of Commerce for Science and Technology"
Mabel Keaton Staupers,,1890-1989,"Nursing administrator
Instrumental in implementing the desegregation of the U.S. Army Nurse Corps during WWII"
Susan McKinney Steward,,1847-1918,"pediatrician, homeopath
the third African-American woman to earn a medical degree, and the first in New York state."
Moogega Cooper Stricker,,1985-20??,"Planetary protection engineer
NASA engineer working on Mars 2020 rover."
Thyrsa Frazier Svager,,1930-1999,"mathematician
one of the first African-American women to receive a PhD in mathematics"
Latanya Sweeney,,,"computer scientist
computer scientist best known for work on k-anonymity"
Valerie Thomas,,1943-,"physicist and inventor
Inventor of the Illusion Transmitter"
Margaret E. M. Tolbert,,1943-,"chemist and science administrator
the first African American and the first woman in charge of a Department of Energy lab"
Rubye Prigmore Torrey,,1926-2017,"chemist
Known for developing a mechanism to decompose hydrogen sulfide, which earned her a place in Sigma Xi"
Powtawche Valerino,,,"mechanical engineer
First Native American to earn a PhD in engineering at Rice University"
Chelsea Walton,,1983-,"mathematician
associate professor at Rice University and a Sloan Research Fellow"
Dawn Ward,,1973-,"synthetic chemist
Chemist creating molecules active against Hepatitis C virus"
Gladys West,,1930-,"mathematician
work on satellite geodesy models used in GPS"
Jessica Ware,,,"evolutionary biologist, entomologist.
work on phylogenomics of insect evolution"
Marguerite Williams,,1895-1991,"geologist
the first African American to earn a doctorate in geology in the United States"
Geraldine Pittman Woods,,1921-1999,"science administrator
known for her lifelong dedication to community service and for establishing programs that promote minorities in STEM fields, scientific research, and basic research"
Dawn Wright,,1961-,"oceanographer, geographer
expert in seafloor mapping, marine geographic information systems"
Jane C. Wright,,1919-2013,"cancer researcher, surgeon
pioneering cancer researcher and surgeon noted for her contributions to chemotherapy"
Josephine Silone Yates,,1859-1912,"chemist
one of the first black professors hired at Lincoln University; first black woman to head a college science department; may have been the first black woman to hold a full professorship at any U.S. college or university"
Roger Arliner Young,,1889-1964,"zoology
first Black woman to earn a Ph.D. in Zoology"
Roger Arliner Young,,1889-1964,"Biology
first Black woman to earn a Ph.D. in Zoology"
Elisa Quintana,,,American planetary scientist
Hilkka Rantaseppä-Helenius,,,Finnish astronomer who studied minor planets
Katharine Reeves,,,American solar astronomer
Emily Rice,,,American astronomer researching sub-stellar objects including brown dwarfs
Christina Richey,,,American planetary scientist and astrophysicist
Julia Riley,,,English radio astronomer
Constance M. Rockosi,,,American galactic astronomer
Elizabeth Roemer,,1929-2016,American astronomer who studied minor planets
Nancy Roman,,1925-2018,American stellar astronomer
Marta Graciela Rovira,,,Argentinian astrophysicist
Vera Rubin,,1928-2016,American astronomer researching extragalactic astronomy
María Teresa Ruiz,,,Chilean astronomer
Carolyn S. Shoemaker,,1929,American astronomer
Penny Sackett,,1956,"American-born Australian astronomer, educator, and manager"
Rita M. Sambruna,,,Italian-American astrophysicist studying supermassive black holes and jets
Anneila Sargent,,1942,Scottish-American astronomer specialized in star formation
Ann Savage,,1946-2017,British astronomer
Caterina Scarpellini,,1808-1873,Italian astronomer and meteorologist
Sara Seager,,1971,Canadian-American astronomer and planetary scientist
Waltraut Seitter,,1930-2007,German astronomer and instructor
Muriel Mussells Seyfert,,1909-1997,American astronomer
Pelageya Shajn,,1894-1956,Russian astronomer searching for minor planets
Aomawa Shields,,,American astrophysicist and professor researching exoplanets
Carolyn S. Shoemaker,,1929,American astronomer
Amy Simon,,,American planetary scientist
Charlotte Moore Sitterly,,1898-1990,American astronomer who studied stellar physics
Tamara Mikhaylovna Smirnova,,1935-2001,Russian astronomer who searched for minor planets and comets
Alicia M. Soderberg,,1977,American astrophysicist and instructor focused on supernovae
Mary Somerville,,1780-1872,"Scottish scientist, writer, and polymath"
Linda Spilker,,,American planetary scientist
Denise Stephens,,,American astronomer and instructor
Sarah Stewart-Mukhopadhyay,,,American planetary scientist
Annapurni Subramaniam,,,Director of the Indian Institute of Astrophysics
Karlina Leksono Supelli,,1958,Indonesian philosopher and astronomer
Jean Swank,,,American astrophysicist studying compact objects
Henrietta Hill Swope,,1902-1980,American astronomer who studied variable stars
Nadezhda Sytinskaya,,1906-1974,Soviet astronomer and planetary scientist
Paula Szkody,,1948,American astronomer and instructor specialized in cataclysmic variable stars
Jill Tarter,,1944,American astronomer focused on SETI
Florence Taylor Hildred,,1865-1932,English astronomer and pastor
Alenush Terian,,1921-2011,Iranian-Armenian astronomer
Michelle Thaller,,1969,American astronomer and educator
Jana Tichá,,1965,Czech astronomer searching for minor planets
Beatrice Tinsley,,1941-1981,British-born New Zealand astronomer studying galactic evolution
Maura Tombelli,,1952,Italian amateur astronomer
Christy A. Tremonti,,,American astronomer
Virginia Louise Trimble,,1943,American astronomer
Lidiya Tseraskaya,,1855-1931,Russian astronomer
Margaret Turnbull,,1975,American astronomer and astrobiologist
Anne Barbara Underhill,,1920-2003,Canadian astrophysicist who studied massive stars
Meg Urry,,,American astrophysicist studying supermassive black holes and galaxies
Bobbie Vaile,,1959-1996,Australian astrophysicist and lecturer
Zdeňka Vávrová,,1945,Czech astronomer
Faith Vilas,,,American planetary scientist
Julie Vinter Hansen,,1890-1960,Danish astronomer
Emma Vyssotsky,,1894-1975,American astronomer who studied astrometry
Sarah Frances Whiting,,1847-1927,"American physicist, astronomer, and instructor"
Lucianne Walkowicz,,1979,American astronomer
Wang Zhenyi,,1768-1797,"Chinese astronomer, mathematician, and poet"
Kim Weaver,,1964,American astrophysicist and instructor focused on X-ray astronomy
Alycia J. Weinberger,,,American astronomer studying planetary formation
Mareta West,,1915-1998,American astrogeologist
Sarah Frances Whiting,,1847-1927,"American physicist, astronomer, and instructor"
Mary Watson Whitney,,1847-1921,American astronomer and teacher
Belinda Wilkes,,,English astrophysicist
Beth Willman,,,American cosmologist
Lee Anne Willson,,1947,American astronomer
Anna Winlock,,1857-1904,American astronomer
Jennifer Wiseman,,,American astrophysicist
Rosemary Wyse,,1957,Scottish astrophysicist and instructor
Frances Woodworth Wright,,1897-1989,American astronomer and educator
Gillian Wright,,,Scottish astronomer
Ye Shuhua,,1927,Chinese astronomer and instructor
Anne Sewell Young,,1871-1961,American astronomer who studied variable stars
Judith Young,,1952-2014,"American physicist, astronomer, and educator"
Louise Gray Young,,1935-2018,American astronomer and researcher
Lyudmila Zhuravlyova,,1946,Russian-Ukrainian astronomer who discovered minor planets
Maria Zuber,,1958,American planetary scientist
Viviana Alder,,1957,Marine Microbiologist
Irene Bernasconi,,1896-1989,"Echinoderm Specialist-member of the first team of Argentine scientists to work on Antarctica in 1968,"
Patricia Ortúzar,,2001,"Geographer-writer,"
Carmen Pujals,,1916-2003,"Botanist-member of the first team of Argentine scientists to work on Antarctica in 1968,"
Irene Schloss,,1997,Plankton Biologist
Nerilie Abram,,1977,Climate Change Environmentalist
Leanne Armand,,1968,"Marine Scientist-diatom ecologist,"
Dana Bergstrom,,1962,"Ecologist-biosecurity specialist,writer"
Hope Black,,1919,"Marine Biologist-educator,early sub-Antarctic researcher"
Elizabeth Chipman,,1934,"Writer-one of the first Australian women to set foot on the Antarctic mainland in 1975,"
Louise Crossley,,1942-2015,"South-African Born Environmentalist-station leader,"
Amanda Davies,,,
Gwen Fenton,,1985,"Biologist-first woman to be chief scientist of the Australian Antarctic Division,"
Samantha Hall,,1982,Environmental Researcher
Catherine King,,1992,Environmentalist Specializing in Ecotoxicology Research
Delphine Lannuzel,,2001,"Belgian-born Biogeochemist-educator,"
Nel Law,,1914-1990,"Artist-writer,first Australian woman to set foot in Antarctica in 1961"
Diana Patterson,,1950,First Woman to Head an Australian Antarctic Station
Sally Poncet,,1954,"Biologist-ornithologist,explorer"
Anya Marie Reading,,1997,Seismology and Computational Methods
Patricia Margaret Selkirk,,1942,"Plant Biologist-ecologist,"
Justine Shaw,,1996,"Ecologist-conservation scientist,"
Jan Strugnell,,1976,Evolutionary Molecular Biologist
Elizabeth Truswell,,1941,"Palynologist-visual artist,"
Miriam-Rose Ungunmerr-Baumann,,1950,One of the First Two Indigenous Australians to Visit Antarctica
Barbara Wienecke,,1993,Namibian-born Seabird Ecologist
Nerida Wilson,,1998,Invertebrate Marine Biologist
Annick Wilmotte,,1982,Microbiologist
Edith Fanta,,1943-2008,"Biologist-Antarctic fish researcher,"
Vivian Pellizari,,1992,Microbiologist
Dk Najibah Era Al-Sufri,,1983,First Bruneian to Reach the South Pole
Roumiana Metcheva,,1950,Ecotoxicologist
Josée Auclair,,1962,"Polar Explorer-first Canadian woman to have headed expeditions to the North and South Poles,"
Kathleen Conlan,,1950,"Marine Biologist-explorer,"
Jennie Darlington,,1919-2009,"Explorer-one of the first women to overwinter in Antarctica in 1947-48,"
Veronica Vallejos,,1960,"Marine Biologist-conservationist,"
Yan Liu,,2003,"Iceberg Calving Specialist-environmentalist,"
Lijie Wei,,1974,"Paleontologist-stratigraphist,"
Linda Nedbalova,,1976,"Biologist-writer,"
Dorthe Dahl-Jensen,,1958,"Geophysicist-ice and climate researcher,"
Caroline Mikkelsen,,1906-1990,"Explorer-first woman to set foot on Antarctica or an Antarctic island in 1935,"
Laurence de la Ferrière,,1957,"Moroccan-born Climber and Explorer-first French woman to reach the South Pole alone in 1997,"
Catherine Ritz,,1975,"Geographer-climatologist,"
Doris Abele,,1984,Marine Biologist
Nancy Bertler,,1996,"Geologist-ice core researcher,"
Anja Blacha,,1990,"Longest Solo-unsupported,unassisted polar expedition by a woman"
Angelika Brandt,,1961,Deep-sea Biologist
Katrin Linse,,2000,Marine Benthic Biologist
Karin Lochte,,1952,"Oceanographer-climate change specialist,"
Cornelia Lüdecke,,1954,"Meteorologist-writer,"
Bettina Meyer,,1996,Marine Biologist
Monika Puskeppeleit,,1955,"Physician-station leader of the first all-woman team to overwinter in Antarctica,"
Reena Kaushal Dharmshaktu,,,
Aditi Pant,,,
Sudipta Sengupta,,,
Meenakshi Wadhwa,,,
Cinzia Verde,,1987,"Biologist-writer,"
Junko Tabei,,1939,"Mountaineer-the first woman to climb to the top of Mount Vinson,Antarctica's highest mountain"
Siti Aisyah Alias,,1966,Marine Biologist
Merieme Chadid,,1969,Astronomer
Corina Brussaard,,1997,Viral Ecologist
Anita Buma,,1984,Marine Ecophysiologist
Monique de Vries,,1947,"Politician-polar research supporter,"
Rosemary Askin,,,
Nancy Bertler,,,
Margaret Bradshaw,,,
