Name,Field(s),Date,Notes,Cleaned_Notes
Maj-Britt Mosegaard Hansen,Linguist,,,
Heidi Harley,Linguist,,,
Alice Harris,Linguist,,,
Jane Ellen Harrison,Linguist,,,
Ruqaiya Hasan,Linguist,,,
Iulia Hasdeu,Linguist,,,
Margaret Hasluck,Linguist,,,
Anna Granville Hatcher,Linguist,,,
Shirley Brice Heath,Linguist,,,
Irene Heim,Linguist,,,
Monica Heller,Linguist,,,
Luise Hercus,Linguist,,,
Gabriella Hermon,Linguist,,,
Susan Herring,Linguist,,,
Judit Hidasi,Linguist,,,
Martha Hildebrandt,Linguist,,,
Elizabeth Hill,Linguist,,,
Jane H. Hill,Linguist,,,
Leanne Hinton,Linguist,,,
Erika Hoff,Linguist,,,
Janet Holmes,Linguist,,,
Clara Holst,Linguist,,,
Anne Holtsmark,Linguist,,,
Elizabeth V. Hume,Linguist,,,
Jennett Humphreys,Linguist,,,
Nina Hyams,Linguist,,,
Sabine Iatridou,Linguist,,,
Sharon Inkelas,Linguist,,,
Luce Irigaray,Linguist,,,
Junko ItÅ,Linguist,,,
Ann-Marie Ivars,Linguist,,,
Pauline Jacobson,Linguist,,,
Katarzyna Jaszczolt,Linguist,,,
LaVerne Jeanne,Linguist,,,
Gail Jefferson,Linguist,,,
Eloise Jelinek,Linguist,,,
Eva Skafte Jensen,Linguist,,,
Li Jinfang,Linguist,,,
Harriet Jisa,,,French developmental linguist,French developmental linguist
Brigitte JobbÃ©-Duval,Linguist,,,
Eliza Grew Jones,Linguist,,,
Yamuna Kachru,Linguist,,,
RenÃ©e Kahane,Linguist,,,
Ellen Kaisse,Linguist,,,
Olga Kapeliuk,Linguist,,,
Elisabeth Karg-GasterstÃ¤dt,Linguist,,,
Suzanne KarpelÃ¨s,Linguist,,,
Frances Karttunen,Linguist,,,
Patricia Keating,Linguist,,,
Ksenia Kepping,Linguist,,,
Roberta Kevelson,Linguist,,,
Ayesha Kidwai,,,Indian theoretical linguist,Indian theoretical linguist
Hannah Kilham,Linguist,,,
Barbara Ann Kipfer,Linguist,,,
Verna Kirkness,Linguist,,,
Irena Klepfisz,Linguist,,,
Alice Kober,Linguist,,,
Maria Koptjevskaja-Tamm,,,Typologist and editor-in-chief of Linguistic Typology,Typologist and editor-in-chief of Linguistic Typology
SnjeÅ¾ana KordiÄ,Linguist,,,
Zeynep Korkmaz,Linguist,,,
Judit Kormos,Linguist,,,
Jaklin Kornfilt,Linguist,,,
Margarita Kozhina,Linguist,,,
Christina Kramer,Linguist,,,
Angelika Kratzer,Linguist,,,
Mary Esther Kropp Dakubu,Linguist,,,
Tania Kuteva,,,Grammaticalization theorist and typologist,Grammaticalization theorist and typologist
Johanna Laakso,Linguist,,,
Mena Lafkioui,Linguist,,,
Aditi Lahiri,Linguist,,,
Robin Lakoff,Linguist,,,
Ann Lambton,Linguist,,,
Sonja L. Lanehart,Linguist,,,
Diane Larsen-Freeman,Linguist,,,
Agathe Lasch,Linguist,,,
Yolanda Lastra,Linguist,,,
Julie Anne Legate,Linguist,,,
Ilse Lehiste,Linguist,,,
Beth Levin,Linguist,,,
Diane Lillo-Martin,Linguist,,,
Rosina Lippi,Linguist,,,
Lucy Lloyd,Linguist,,,
Bettelou Los,Linguist,,,
Ceil Lucas,Linguist,,,
Monica Macaulay,Linguist,,,
Asifa Majid,Linguist,,,
Joan Maling,Linguist,,,
Melanie Malzahn,Linguist,,,
Maria Rita Manzini,Linguist,,,
Christiane Marchello-Nizia,Linguist,,,
Raymattja Marika,Linguist,,,
France Martineau,Linguist,,,
Esther Martinez,Linguist,,,
Diane Massam,Linguist,,,
GeneviÃ¨ve Massignon,Linguist,,,
Margaret Masterman,Linguist,,,
Rachel Mayberry,Linguist,,,
Katayun Mazdapour,Linguist,,,
Sally McConnell-Ginet,Linguist,,,
Sandra Lee McKay,Linguist,,,
Erin McKean,Linguist,,,
April McMahon,Linguist,,,
Louise McNally,Linguist,,,
Felicity Meakins,Linguist,,,
Inna Meiman-Kitrossky,Linguist,,,
Norma Mendoza-Denton,Linguist,,,
Lise Menn,Linguist,,,
Paula Menyuk,Linguist,,,
Elena Mestergazi,Linguist,,,
Helle Metslang,Linguist,,,
Miriam Meyerhoff,Linguist,,,
Laura Michaelis,Linguist,,,
Susanne Maria Michaelis,Linguist,,,
Halina Mierzejewska,Linguist,,,
Lesley Milroy,Linguist,,,
Zara Mints,Linguist,,,
Marianne Mithun,Linguist,,,
MarÃ­a Moliner,Linguist,,,
Friederike Moltmann,Linguist,,,
Jill Morford,Linguist,,,
Odille Morison,Linguist,,,
Teresa Moure,Linguist,,,
Claire Moyse-Faurie,,,French linguist and specialist in Oceanic languages,French linguist and specialist in Oceanic languages
Pamela Munro,Linguist,,,
Lynne Murphy,Linguist,,,
Mona MuscÄ,Linguist,,,
Carol Myers-Scotton,Linguist,,,
Mira NÃ¡bÄlkovÃ¡,Linguist,,,
Susan J. Napier,Linguist,,,
Donna Jo Napoli,Linguist,,,
Monique Nemni,Linguist,,,
Johanna Nichols,Linguist,,,
Harriet Bjerrum Nielsen,Linguist,,,
Tatiana Nikitina,Linguist,,,
Shaista Nuzhat,Linguist,,,
Arika Okrent,Linguist,,,
Birgit Anette Olsen,Linguist,,,
Natalia O'Shea,Linguist,,,
FranÃ§oise Ozanne-Rivierre,Linguist,,,
A. Sumru Ãzsoy,Linguist,,,
AslÄ± ÃzyÃ¼rek,Linguist,,,
Carol Padden,Linguist,,,
Barbara Partee,Linguist,,,
Gertrud PÃ¤tsch,Linguist,,,
Marija AuÅ¡rinÄ PavilionienÄ,Linguist,,,
Aneta Pavlenko,Linguist,,,
Elena Paducheva,,,Russian semanticist and syntactician and lexicographer,Russian semanticist and syntactician and lexicographer
Doris L. Payne,Linguist,,,
Asya Pereltsvaig,Linguist,,,
Ellavina Perkins,Linguist,,,
MichÃ¨le Perret,Linguist,,,
Einfrid PerstÃ¸len,Linguist,,,
Janet Pierrehumbert,Linguist,,,
Ingrid Piller,Linguist,,,
Elisabeth Piirainen,Linguist,,,
Maria Polinsky,Linguist,,,
Shana Poplack,Linguist,,,
Saveros Pou,Linguist,,,
Ellen Prince,Linguist,,,
Tatiana Proskouriakoff,Linguist,,,
Luise F. Pusch,Linguist,,,
Parashqevi Qiriazi,Linguist,,,
Robin Queen,Linguist,,,
Fatemeh Rakeei,Linguist,,,
Ekaterina Rakhilina,,,Russian semanticist and lexical typologist,Russian semanticist and lexical typologist
Angela Ralli,,,Morphologist and Greek dialectologist,Morphologist and Greek dialectologist
Gillian Ramchand,Linguist,,,
Irmengard Rauch,Linguist,,,
Dorit Ravid,Linguist,,,
Tanya Reinhart,Linguist,,,
Ursula Reutner,Linguist,,,
Josette Rey-Debove,Linguist,,,
Barbara Reynolds,Linguist,,,
Annie Rialland,Linguist,,,
Keren Rice,Linguist,,,
Wilga Rivers,Linguist,,,
StÃ©phane Robert,Linguist,,,
Suzanne Romaine,Linguist,,,
Mitsou Ronat,Linguist,,,
Jana S. RoÅ¡ker,Linguist,,,
Jane Helen Rowlands,Linguist,,,
Alma Sabatini,Linguist,,,
Fatima Sadiqi,Linguist,,,
Azarmi Dukht Safavi,Linguist,,,
Alicja Sakaguchi,Linguist,,,
Dora Sakayan,Linguist,,,
Satvasheela Samant,Linguist,,,
Hazel Sampson,Linguist,,,
Wendy Sandler,Linguist,,,
Gillian Sankoff,Linguist,,,
Katherine Siva Saubel,Linguist,,,
Irene Saunders,Linguist,,,
Bambi Schieffelin,Linguist,,,
Natalie Schilling,Linguist,,,
Monika Schmid,,,German acquisitionist and attrition specialist,German acquisitionist and attrition specialist
Lucy Seki,Linguist,,,
Elisabeth O. Selkirk,Linguist,,,
Elena Semino,Linguist,,,
Tamara Shakryl,Linguist,,,
Devyani Sharma,Linguist,,,
Patricia Alice Shaw,Linguist,,,
Judy Shepard-Kegl,Linguist,,,
Natalia Shvedova,Linguist,,,
Anna Siewierska,Linguist,,,
Mandy Simons,Linguist,,,
Jane Simpson,Linguist,,,
Dorjana Å irola,Linguist,,,
Marie-Louise Sjoestedt,Linguist,,,
Tove Skutnabb-Kangas,Linguist,,,
Adeline Smith,Linguist,,,
Mary Snell-Hornby,Linguist,,,
Antonella Sorace,Linguist,,,
Rosanna Sornicola,Linguist,,,
Lyubov Sova,Linguist,,,
Tamar Sovran,Linguist,,,
Salamatou Sow,Linguist,,,
Donca Steriade,Linguist,,,
Karen Stollznow,Linguist,,,
Thelma D. Sullivan,Linguist,,,
Merrill Swain,Linguist,,,
Eve Sweetser,Linguist,,,
Kristen Syrett,Linguist,,,
Sali Tagliamonte,Linguist,,,
Clotilde Tambroni,Linguist,,,
Deborah Tannen,Linguist,,,
Marina Tarlinskaja,Linguist,,,
Elaine Tarone,Linguist,,,
Marie-Lucie Tarpent,Linguist,,,
Joan M. Tenenbaum,Linguist,,,
M. Carey Thomas,Linguist,,,
Sarah Thomason,Linguist,,,
Sandra Thompson,Linguist,,,
Erika Timm,Linguist,,,
Rosemarie Tracy,Linguist,,,
Elizabeth C. Traugott,Linguist,,,
Joan Lee Tu,Linguist,,,
Joan Turville-Petre,Linguist,,,
Aisin-Gioro Ulhicun,Linguist,,,
Helene Uri,Linguist,,,
Anna Vainikka,Linguist,,,
Jacqueline VaissiÃ¨re,Linguist,,,
Marijn van Dijk,Linguist,,,
Martine Vanhove,Linguist,,,
Ans van Kemenade,Linguist,,,
Galina Varlamova,Linguist,,,
Marjolijn Verspoor,Linguist,,,
Margaret Mary Vojtko,Linguist,,,
Tsvia Walden,Linguist,,,
Henriette Walter,Linguist,,,
Ida C. Ward,Linguist,,,
Edith Wardale,,,British philologist of Germanic languages,British philologist of Germanic languages
ElÅ¼bieta Magdalena WÄsik,Linguist,,,
Lucille Watahomigie,Linguist,,,
Julia Wedgwood,Linguist,,,
Lydia White,Linguist,,,
Anna Wierzbicka,Linguist,,,
Kay Williamson,Linguist,,,
Ruth Wodak,Linguist,,,
Alison Wray,Linguist,,,
Elizabeth Mary Wright,,,English linguist and dialectologist,English linguist and dialectologist
Susi Wurmbrand,Linguist,,,
Viktoria Yartseva,Linguist,,,
Mary Yee,Linguist,,,
Galina Yershova,Linguist,,,
Moira Yip,Linguist,,,
Virginia Yip,Linguist,,,
Martha Young-Scholten,Linguist,,,
Annie Zaenen,Linguist,,,
Raffaella Zanuttini,Linguist,,,
Hiltgunt Zassenhaus,Linguist,,,
Georgia Zellou,Linguist,,,
Ofelia Zepeda,Linguist,,,
Ulrike Zeshan,Linguist,,,
Niina Ning Zhang,Linguist,,,
Milena Å½ic-Fuchs,Linguist,,,
Elizabeth Zsiga,Linguist,,,
M.-L. Zubizarreta,Linguist,,,
Jane Zuengler,Linguist,,,
