Name,Field(s),Date,Notes,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Cleaned_Notes
Heidi Cullen,,,meteorologist,,,,,meteorologist
Judith Curry,,,climatologist and former chair of the School of Earth and Atmospheric Sciences at the Georgia Institute of Technology,,,,,climatologist and former chair of the School of Earth and Atmospheric Sciences at the Georgia Institute of Technology
Rosanne D'Arrigo,,,climate researcher using dendrochronology,,,,,climate researcher using dendrochronology
Kendra Daly,,,oceanographer specializing in zooplankton,,,,,oceanographer specializing in zooplankton
Violet Dandridge,,,,,,,,
Lesley-Ann L. Dupigny-Giroux,,,Trinidad-born geographer and climate researcher,,,,,Trinidad-born geographer and climate researcher
Sylvia Earle,,1935.0,,,,,,
Erika Edwards,,,researcher focusing on the evolution of plants,,,,,researcher focusing on the evolution of plants
Jane Fonda,,1937.0,feminist and environmentalist,,,,,feminist and environmentalist
Eunice Newton Foote,,,,,,,,
Grace Voss Frederick,,,,,,,,
Daphne Frias,,1998.0,climate change and environmental and disability justice,,,,,climate change and environmental and disability justice
Inez Fung,,1949.0,biogeochemical cycles,,,,,biogeochemical cycles
Niria Alicia Garcia,,1993.0,,,,,,
Pat Gozemba,,1940.0,,,,,,
Marika Holland,,,scientist working on sea ice modelling,,,,,scientist working on sea ice modelling
Alice Clary Earle Hyde,,,,,,,,
Deborah Jacobvitz,,,ecologist,,,,,ecologist
Frances James,,1930.0,,,,,,
Gretchen Keppel-Aleks,,,climate scientist researching greenhouse gases,,,,,climate scientist researching greenhouse gases
Caroline Ella Heminway Kierstead,,,,,,,,
Bronwen Konecky,,,climatologist focusing on climate change in the tropics,,,,,climatologist focusing on climate change in the tropics
Winona LaDuke,,1959.0,,,,,,
Estella Leopold,,1927.0,,,,,,
Beate G. Liepert,,,research scientist focusing on climate variability,,,,,research scientist focusing on climate variability
Lorraine Lisiecki,,,paleoclimatologist studying the history of climate change,,,,,paleoclimatologist studying the history of climate change
Hunter Lovins,,1950.0,,,,,,
Jane Lubchenco,,1947.0,,,,,,
Cherilla Storrs Lowrey,,,Hawaii's oldest environmental organization,,,,,Hawaii's oldest environmental organization
Kate Marvel,,,climate scientist,,,,,climate scientist
Galen McKinley,,,carbon cycle researcher,,,,,carbon cycle researcher
Marcia McNutt,,1952.0,president of the National Academy of Sciences,,,,,president of the National Academy of Sciences
Linda Mearns,,,geologist and climate scientist specializing in climate change assessment,,,,,geologist and climate scientist specializing in climate change assessment
Susanne Menden-Deuer,,2000.0,,,,,,
Jill Mikucki,,,microbiologist,,,,,microbiologist
Twila Moon,,,scientist researching the Greenland ice sheet,,,,,scientist researching the Greenland ice sheet
Marianne V. Moore,,,aquatic ecologist,,,,,aquatic ecologist
Sue Moore,,,Arctic oceanographer studying whales,,,,,Arctic oceanographer studying whales
Ann Haven Morgan,,,,,,,,
Margaret Mulholland,,,oceanographer studying nutrients in marine environments,,,,,oceanographer studying nutrients in marine environments
Alison Murray,,,biochemist,,,,,biochemist
Margaret Nygard,,,,,,,,
Karen Oberhauser,,1956.0,,,,,,
Kittie Fenley Parker,,,,,,,,
Mary Peltola,,1999.0,,,,,,
Elsie Quarterman,,,,,,,,
Marilyn Raphael,,,Trinidad-born climate change scientist working on polar research,,,,,Trinidad-born climate change scientist working on polar research
Cicely Ridley,,,,,,,,
Edith A. Roberts,,,,,,,,
Gabrielle Rocap,,1971.0,,,,,,
Joan Roughgarden,,1946.0,,,,,,
Cynthia E. Rosenzweig,,1958.0,pioneered the study of climate change and agriculture,,,,,pioneered the study of climate change and agriculture
Joellen Louise Russell,,1970.0,,,,,,
Tatiana Rynearson,,,oceanographer studying plankton diversity,,,,,oceanographer studying plankton diversity
Eva Saulitis,,,,,,,,
Sybil P. Seitzinger,,,oceanographer and climate scientist researching climate change and elemental cycling,,,,,oceanographer and climate scientist researching climate change and elemental cycling
Susan Solomon,,1956.0,,,,,,
Margaret Sordahl,,,,,,,,
Lynne Talley,,,oceanographer and climate scientist at Scripps Institution of Oceanography,,,,,oceanographer and climate scientist at Scripps Institution of Oceanography
Elizabeth Teter Lunn,,,,,,,,
Ellen Thomas,,1950.0,,,,,,
Anne M. Thompson,,,specialist in atmospheric chemistry and climate change,,,,,specialist in atmospheric chemistry and climate change
LuAnne Thompson,,,oceanographer modeling movement of heat and chemical via ocean currents,,,,,oceanographer modeling movement of heat and chemical via ocean currents
Vivian Thomson,,1997.0,,,,,,
Maya Tolstoy,,,marine geophysicist investigating earthquakes in the deep sea,,,,,marine geophysicist investigating earthquakes in the deep sea
Susan Trumbore,,,earth systems scientist focusing on the carbon cycle and its effects on climate,,,,,earth systems scientist focusing on the carbon cycle and its effects on climate
Monica Turner,,1980.0,,,,,,
Julienne Stroeve,,,polar climate scientist working on the remote sensing of ice and snow,,,,,polar climate scientist working on the remote sensing of ice and snow
Carol Van Strum,,1940.0,,,,,,
Betsy Weatherhead,,,former head of the National Climate Assessment,,,,,former head of the National Climate Assessment
Rebecca Woodgate,,,oceanographer working on ocean circulation in polar regions,,,,,oceanographer working on ocean circulation in polar regions
Kakani Katija Young,,,bioengineer focusing on marine organisms,,,,,bioengineer focusing on marine organisms
Linda Zall,,,environmental scientist specializing in satellite data,,,,,environmental scientist specializing in satellite data
Joy Zedler,,1943.0,,,,,,
Uganda,,,,,,,,
Ugandan activist Vanessa Nakate,,,,,,,,
Vanessa Nakate,,1996.0,,,,,,
Uruguay,,,,,,,,
Lucrecia Covelo,,,,,,,,
Vanuatu,,,,,,,,
Litiana Kalsrap,,1992.0,,,,,,
Vietnam,,,,,,,,
Hoang Thi Than,,,geological engineer and archaeologist,,,,,geological engineer and archaeologist
