Cynthia A. Maryanoff,,1949,American organic/medicinal chemist,,,,,
Elizabeth Moran,,,British chemist and public analyst,,,,,
Maud Menten,,1879-1960,Canadian biochemist,,,,,
Helen Vaughn Michel,,1932,American nuclear chemist,,,,,
Alexandra Navrotsky,,1943,American geochemist,,,,,
Dorothy Virginia Nightingale,,1902-2000,American organic chemist,,,,,
Yolanda Ortiz,,,"Argentine chemist, environmentalist",,,,,
Kathlyn Parker,,,American organic chemist,,,,,
Emma Parmee,,,British-born medicinal/organic chemist,,,,,
Mary Engle Pennington,,1872-1952,American food chemist,,,,,
Eva Philbin,,1914-2005,Irish chemist,,,,,
Iphigenia Photaki,,1921-1983,Greek organic chemist,,,,,
Darshan Ranganathan,,1941-2001,Indian organic chemist,,,,,
Mildred Rebstock,,1919-2011,American Pharmaceutical chemist,,,,,
Sibyl Martha Rock,,1909-1981,American pioneer in mass spectrometry and computing,,,,,
Elizabeth Rona,,1890-1981,Hungarian (naturalized American) nuclear chemist and polonium expert,,,,,
Mary Swartz Rose,,1874-1941,Nutrition chemist,,,,,
Melanie Sanford,,1975,American organic chemist,,,,,
Patsy Sherman,,1930-2008,"American chemist, co-inventor of Scotchgard",,,,,
Odette L. Shotwell,,1922-1998,organic chemist,,,,,
Jean'ne Shreeve,,1933,American organic chemist,,,,,
Dorothy Martin Simon,,1919-2016,American physical chemist,,,,,
Susan Solomon,,1956,Atmospheric chemist,,,,,
JoAnne Stubbe,,1946,American biochemist,,,,,
Ida Noddack Tacke,,1896-1978,German chemist and physicist,,,,,
Tsippy Tamiri,,1952-2017,Israeli chemist,,,,,
Giuliana Tesoro,,1921-2002,Polymer chemist,,,,,
Margaret Thatcher,,1925-2013,British chemist and Prime Minister,,,,,
Jean Thomas,,,British biochemist,,,,,
Martha J. B. Thomas,,1926-2006,Analytical chemist and chemical engineer,,,,,
Ann E. Weber,,,American organic/medicinal chemist,,,,,
Karen Wetterhahn,,1948-1997,American metal toxicologist,,,,,
Ruth R. Wexler,,1955,"American organic and medicinal chemist, discoverer of two marketed drugs",,,,,
M. Christina White,,1970,American organometallic chemist,,,,,
Charlotte Williams,,,English inorganic chemist,,,,,
Angela K. Wilson,,,"American computational,theoretical,and physical chemist",,,,and physical chemist,
Rosalyn Sussman Yalow,,1921-2011,American biochemist,,,,,
Jenara Vicenta Arnal Yarza,,1902-1960,Spanish chemist,,,,,
Jean Youatt,,1925,"Australian chemist, biochemist, and microbiologist",,,,,
Ada Yonath,,1939,"Israeli crystallographer, Nobel prize in chemistry 2009",,,,,
Glaci Zancan,,1935-2007,"Brazilian biochemist, president of the Brazilian Society for the Progress of the Science (SBPC) from 1999 to 2003",,,,,
Emily Balskus,,,"American organic and biological chemist,and microbiologist. Recipient of the 2020 Alan T. Waterman Award for her work on understanding the chemistry of metabolic processes. Professor at Harvard University.,",,,,,
Clare Grey,,,British chemist pioneering the use of nuclear magnetic resonance spectroscopy to study battery technology. Awarded the Körber European Science Prize in 2021. Professor at the University of Cambridge.,,,,,
Paula T. Hammond,,,"American chemical engineer focussing on macromolecular design and synthesis of materials for drug delivery systems,particularly in relation to cancer,immunology",,,,immunology,and immunotherapy. Professor at MIT.[7][10]
Jeanne Hardy,,,American biophysicist and chemical biologist. Known for her work in the design of allosteric binding sites and control elements into human proteases. Professor at the University of Massachusetts.,,,,,
Rachel Haurwitz,,,"American biochemist and structural biologist. Her work regards CRISPR based technologies,she is a cofounder of Caribou Biosciences,a genome editing and cell therapy development company.",,,,a genome editing and cell therapy development company.[12],
Katja Loos,,,"German polymer chemist working on the design,synthesis,and characterisation of novel and sustainable polymeric materials and macromolecules. Chair of the board of the Zernike Institute for Advanced Materials. Professor at the University of Groningen.",,,,and characterisation of novel and sustainable polymeric materials and macromolecules. Chair of the board of the Zernike Institute for Advanced Materials.[13] Professor at the University of Groningen.,
Rachel Mamlok-Naaman,,,"Israeli chemist,specialized in chemistry education,",,,,,
Lisa Marcaurelle,,,American synthetic chemist in industry,,,,,
Catherine J. Murphy,,,American chemist,,,,,
Sarah O'Connor,,,American plant synthetic biologist working in England,,,,,
Gillian Reid,,2020-,British inorganic chemist. President elect,,,,,
Sarah E Reisman,,,American organic chemist,,,,,
Magdalena Titirici,,,materials chemist focusing on sustainable materials for energy applications. Professor at Imperial College London.,,,,,
Seble Wagaw,,,American process chemist and pharma exec,,,,,
Marcey Lynn Waters,,,American chemical biologist and supramolecular chemist,,,,,
Jenny Y Yang,,,American chemist and clean energy researcher at UCI,,,,,
Wendy Young,,,American chemist at Genentech,,,,,
Jaqueline Kiplinger,,,American chemist working at the Los Alamos National Laboratory,,,,,
