Name,Field(s),Date,Notes,,,,
Kim Cobb,,1974,,,,,
Lisa Goddard,,,,,,,
Emma Cole,,,,,,,
Maureen Conte,,,biogeochemist studying long-term cycling of chemical compounds in seawater,,,,
Allison Crimmins,,,head of the National Climate Assessment,,,,
Heidi Cullen,,,meteorologist,,,,
Judith Curry,,,climatologist and former chair of the School of Earth and Atmospheric Sciences at the Georgia Institute of Technology,,,,
Rosanne D'Arrigo,,,climate researcher using dendrochronology,,,,
Kendra Daly,,,oceanographer specializing in zooplankton,,,,
Violet Dandridge,,,,,,,
Lesley-Ann L. Dupigny-Giroux,,,Trinidad-born geographer and climate researcher,,,,
Sylvia Earle,,1935,,,,,
Erika Edwards,,,researcher focusing on the evolution of plants,,,,
Jane Fonda,,1937,feminist and environmentalist,,,,
Eunice Newton Foote,,,,,,,
Grace Voss Frederick,,,,,,,
Daphne Frias,,1998,climate change and environmental and disability justice,,,,
Inez Fung,,1949,biogeochemical cycles,,,,
Niria Alicia Garcia,,1993,,,,,
Pat Gozemba,,1940,,,,,
Marika Holland,,,scientist working on sea ice modelling,,,,
Alice Clary Earle Hyde,,,,,,,
Deborah Jacobvitz,,,ecologist,,,,
Frances James,,1930,,,,,
Gretchen Keppel-Aleks,,,climate scientist researching greenhouse gases,,,,
Caroline Ella Heminway Kierstead,,,,,,,
Bronwen Konecky,,,climatologist focusing on climate change in the tropics,,,,
Winona LaDuke,,1959,,,,,
Estella Leopold,,1927,,,,,
Beate G. Liepert,,,research scientist focusing on climate variability,,,,
Lorraine Lisiecki,,,paleoclimatologist studying the history of climate change,,,,
Hunter Lovins,,1950,,,,,
Jane Lubchenco,,1947,,,,,
Cherilla Storrs Lowrey,,,Hawaii's oldest environmental organization,,,,
Kate Marvel,,,climate scientist,,,,
Galen McKinley,,,carbon cycle researcher,,,,
Marcia McNutt,,1952,president of the National Academy of Sciences,,,,
Linda Mearns,,,geologist and climate scientist specializing in climate change assessment,,,,
Susanne Menden-Deuer,,2000,,,,,
Jill Mikucki,,,microbiologist,,,,
Twila Moon,,,scientist researching the Greenland ice sheet,,,,
Marianne V. Moore,,,aquatic ecologist,,,,
Sue Moore,,,Arctic oceanographer studying whales,,,,
Ann Haven Morgan,,,,,,,
Margaret Mulholland,,,oceanographer studying nutrients in marine environments,,,,
Alison Murray,,,biochemist,,,,
Margaret Nygard,,,,,,,
Karen Oberhauser,,1956,,,,,
Kittie Fenley Parker,,,,,,,
Mary Peltola,,1999,,,,,
Elsie Quarterman,,,,,,,
Marilyn Raphael,,,Trinidad-born climate change scientist working on polar research,,,,
Cicely Ridley,,,,,,,
Edith A. Roberts,,,,,,,
Gabrielle Rocap,,1971,,,,,
Joan Roughgarden,,1946,,,,,
Cynthia E. Rosenzweig,,1958,pioneered the study of climate change and agriculture,,,,
Joellen Louise Russell,,1970,,,,,
Tatiana Rynearson,,,oceanographer studying plankton diversity,,,,
Eva Saulitis,,,,,,,
Sybil P. Seitzinger,,,oceanographer and climate scientist researching climate change and elemental cycling,,,,
Susan Solomon,,1956,,,,,
Margaret Sordahl,,,,,,,
Lynne Talley,,,oceanographer and climate scientist at Scripps Institution of Oceanography,,,,
Elizabeth Teter Lunn,,,,,,,
Ellen Thomas,,1950,,,,,
Anne M. Thompson,,,specialist in atmospheric chemistry and climate change,,,,
LuAnne Thompson,,,oceanographer modeling movement of heat and chemical via ocean currents,,,,
Vivian Thomson,,1997,,,,,
Maya Tolstoy,,,marine geophysicist investigating earthquakes in the deep sea,,,,
Susan Trumbore,,,earth systems scientist focusing on the carbon cycle and its effects on climate,,,,
Monica Turner,,1980,,,,,
Julienne Stroeve,,,polar climate scientist working on the remote sensing of ice and snow,,,,
Carol Van Strum,,1940,,,,,
Betsy Weatherhead,,,former head of the National Climate Assessment,,,,
Rebecca Woodgate,,,oceanographer working on ocean circulation in polar regions,,,,
Kakani Katija Young,,,bioengineer focusing on marine organisms,,,,
Linda Zall,,,environmental scientist specializing in satellite data,,,,
Joy Zedler,,1943,,,,,
Uganda,,,,,,,
Ugandan activist Vanessa Nakate,,,,,,,
Vanessa Nakate,,1996,,,,,
Uruguay,,,,,,,
Lucrecia Covelo,,,,,,,
Vanuatu,,,,,,,
Litiana Kalsrap,,1992,,,,,
Vietnam,,,,,,,
Hoang Thi Than,,,geological engineer and archaeologist,,,,
