Name,Field(s),Date,Notes
Jane E. Parker,,1960,British botanist who researches the immune responses of plants
Emma Parmee,,,British chemist who was one of the leads in the discovery and development of sitagliptin
Tracey Reynolds,,1970,British sociologist
Margaret Stanley,,2004,"British virologist,OBE,"
Jean Thomas,,1942,"Welsh biochemist, educator"
Miriam Tildesley,,1883-1979,English anthropologist
Karen Vousden,,1957,British medical researcher
Christine Williams,,1973,"British nutritionist, educator"
Carolyn Porco,,1953,American planetary scientist
Debra Elmegreen,,1952,"astronomer, educator"
Jill Tarter,,1944,"American astronomer, educator"
Joy Crisp,,1979,American planetary scientist
Linda Spilker,,1955,American planetary scientist
Lucy-Ann McFadden,,1952,astronomer
Maria Zuber,,1958,American planetary scientist
Martha P. Haynes,,1951,American astronomer specializing in radio astronomy
Pamela Gay,,1973,American astronomer
Rachel Zimmerman,,1972,Canadian-born space scientist
Sandra Faber,,1944,American professor of astronomy
Amanda Bosh,,1990,American observational astronomer
Luisa Rebull,,2010,American astrophysicist
Athena Aktipis,,.1981,American professor of evolutionary biology and psychology
Alice Alldredge,,1949,"American oceanographer and researcher of marine snow, discover of Transparent Exopolymer Particles"
Ilkay Altintas,,1977,Turkish-American supercomputing and high performance computing research scientist
Lera Boroditsky,,.1976,Belarusian-American cognitive scientist
Stephanie Burns,,1955,"organosilicon chemist, business executive"
L. Jean Camp,,1988,"computer security expert, professor"
Lu Chen,,1972,Chinese-born American neuroscientist
Anne Churchland,,,American neuroscientist
Sylvia Earle,,1935,"marine biologist, explorer, author, and lecturer"
Deborah Estrin,,1959,"American computer scientist, educator"
Katherine Freese,,1957,"theoretical astrophysicist, American professor of physics"
Elizabeth Gershoff,,,American professor of human development and family sciences
Candace S. Greene,,1976,"American anthropologist, National Museum of Natural History"
Jane Grimwood,,,"microbiologist,from 2000 worked on the Human Genome Project at Stanford,"
Lisa Gunaydin,,,neuroscientist and professor
Gail Hanson,,1947,"American experimental particle physicist, educator"
Gabriele C. Hegerl,,1962,climatologist researching natural variability and attribution of climate change
Patricia Hersh,,1973,"mathematician, educator, researching algebraic and topological combinatorics"
Valerie Horsley,,,American biologist
Aletha C. Huston,,,American professor of child development
Shirley Ann Jackson,,1946,American nuclear physicist
Alice K. Jacobs,,2004,"American cardiologist,president of the American Heart Association,"
Deborah Jacobvitz,,,American ecologist
Karen C. Johnson,,1955,American physician and clinical trials specialist who is one of Reuter's most cited scientists
Rosemary Joyce,,1956,American archaeologist who uncovered chocolate's archaeological record and studies Honduran pre-history
Renata Kallosh,,1943,"Russian-born American theoretical physicist, educator"
Dina Katabi,,1970,professor of electrical engineering and computer science at MIT
Cynthia Keppel,,,nuclear physicist
Ann Kiessling,,1942,"American reproductive biologist, educator"
Maria Kovacs,,,"psychologist,educator,"
Cynthia Larive,,,American bioanalytical chemist
Emily Levesque,,1984,American astrophysicist
J. Virginia Lincoln,,1915-2003,physicist
Mariangela Lisanti,,1983,American theoretical physicist
Anna Suk-Fong Lok,,,"Chinese/American hepatologist,wrote WHO and AASLD guidelines for liver disease in emerging countries,"
Catherine A. Lozupone,,1975,"American microbiologist, working on the gut microbiome, who developed the UniFrac algorithm"
Silvia Maciá,,1972,marine biologist
Carolyn M. Mazure,,1949,medical researcher
Sally McBrearty,,,American palaeoanthropologist and Palaeolithic archaeologist
Lauren Meyers,,,American professor of integrative biology
Jill Mikucki,,1996,"microbiologist, Antarctic researcher"
Barbara Haviland Minor,,,chemical engineer
Marianne V. Moore,,1975,aquatic ecologist
Yolanda T. Moses,,1946,"anthropologist, educator"
Catherine J. Murphy,,1964,American chemist
Alison Murray,,,
Elizabeth Nance,,,American chemical engineer
Anna Nagurney,,1996,Ukrainian-American mathematician specializing in operations management
Ann Nardulli,,1948-2018,American endocrinologist
Elly Nedivi,,,American neuroscientist
Ann Nelson,,1958-2019,American particle physicist
Anne B. Newman,,1955,US geriatrics and gerontology expert
Lina Nilsson,,,biomedical engineering
Karen Oberhauser,,1956,conservation biologist working with monarch butterflies
Nataša Pavlović,,,psychologist
E. Gail de Planque,,1944-2010,nuclear physicist specializing in environmental radiation
Eva J. Pell,,1948,"American biologist, plant pathologist"
Helen Quinn,,1943,Australian-born American particle physicist
Lisa Randall,,1962,"American particle physicist, educator"
Rebecca Richards-Kortum,,1964,"American bioengineer, professor at Rice"
Geraldine L. Richmond,,1953,"American physical chemist, professor at University of Oregon, previous president of the American Association for the Advancement of Science"
Karin Rodland,,1949,cancer cell biologist; Fellow of the American Association for the Advancement of Science; Laboratory Fellow of the U.S. Pacific Northwest National Laboratory
Una Ryan,,1941,"Malaysian born-American, heart disease researcher, biotech vaccine and diagnostics maker/marketer"
Omowunmi Sadik,,1964,"Nigerian-born chemist, Bioanalytical chemistry"
Linda Saif,,1969,"American microbial scientist, researching virology and immunology"
Sandra Saouaf,,,American immunologist researching autoimmune disease
Velma Scantlebury,,,
Hazel Schmoll,,1890-1990,American botanist
Christine Siddoway,,1961,Antarctic geologist
Caroline M. Solomon,,,deaf oceanographer and winner of the 2017 Ramón Margalef Award for Excellence in Education
Carsen Stringer,,,American computational neuroscientist
Sharon Stocker,,,known for discovery of Griffin Warrior Tomb
Elizabeth C. Theil,,1962,research into iron deficiency anemia
Sabrina Thompson,,1985,American aerospace engineer and founder of fashion brand Girl in Space Club
Krystal Tsosie,,,geneticist and bioethicist known for promoting Indigenous data sovereignty and studying genetics within Indigenous communities
Kay Tye,,. 1981,American neuroscientist
Gina G. Turrigiano,,,American neuroscientist
Lydia Villa-Komaroff,,1947,American molecular biologist
Elisabeth Vrba,,1942,American paleontologist
Nora Volkow,,1956,Mexican-American psychiatrist
Elizabeth M. Ward,,,American epidemiologist and head of the Epidemiology and Surveillance Research Department of the American Cancer Society
Rachel Ward,,,American mathematician
Christina Warinner,,,American anthropologist best known for her research on ancient microbiomes
Petra Wilder-Smith,,1958,American dentistry and cancer researcher
Phyllis Wise,,1967,"American biologist, educator"
Catherine G. Wolf,,1947-2018,American psychologist specializing in human-computer interaction
Kakani Katija Young,,1983,American bioengineer
Hua Eleanor Yu,,,cancer researcher
Amy Proal,,2010,American microbiologist
Mayly Sánchez,,1972,"astrophysicist studying neutrinos, awarded the US PECASE Prize in 2011"
Phạm Thị Trân Châu,,1938,biochemist
Hoang Thi Than,,1944,Vietnamese geological engineer and archaeologist
Nsofwa Petronella Sampa,,,psychological counselor and HIV activist
Idah Sithole-Niang,,1957,biochemist focusing on cowpea production and disease
