Name,Field(s),Date,Notes
Mary Odile Cahoon,,1929-2011,"Benedictine Nun-early Antarctic biological researcher,"
Kelly Falkner,,1960,"Chemical Oceanographer-educator,"
Patricia Hepinstall,,,
Barbara Hillary,,1931-2019,"-First African-American Woman to Reach Both Poles,"
Louise Huffman,,1951,Educator Specializing in Polar Science
Christina Hulbe,,1994,"Geologist-educator,"
Lois Jones,,1935-2000,"Geochemist-led the first all-woman science team to Antarctica in 1969,"
Kelly Jemison,,,
Ruth Kelley,,,
Amy Leventer,,1982,"Marine Biologist-micropaleontologist,"
Diane McKnight,,1953,"Environmental Engineer-educator,editor"
Mary Alice McWhinnie,,1922-1980,"Biologist-first American woman to head an Antarctic research station,"
Jill Mikucki,,1996,Microbiologist
Robyn Millan,,1995,"Astronomist-physicist,investigating radiation belts"
Tori Murden,,1963,"Explorer-first woman to reach the South Pole by land in 1989,"
Alison Murray,,1989,Microbiologist
Jerri Nielsen,,1952-2009,"Physician-writer,"
Julie Palais,,1974,Glaciologist
Irene C. Peden,,1925,"Electrical Engineer-first American scientist to work in the Antarctic interior in 1970,"
Ann Peoples,,1979,First American Woman to Have a Management Position in Antarctica
Erin Pettit,,1971,Glaciologist
Vanessa O'Brien,,1964,"Mountain Climber-explorer,"
Christina Riesselman,,2001,Paleoceanographer
Michelle Rogan-Finnemore,,1981,"Scientist-legal expert,"
Jackie Ronne,,1919-2009,"Explorer-first woman to be a working member of an Antarctic expedition (1947-48,"
Christine Siddoway,,1961,Structural Geologist
Deborah Steinberg,,1987,"Oceanographer-zooplankton ecologist,"
Cristina Takacs-Vesbach,,1968,Microbial Ecologist
Lynne Talley,,1954,Physical Oceanographer
Trista Vick-Majors,,2000,Microbial Ecologist
Diana Wall,,1971,Environmental Scientist and a Soil Ecologist
Sophie Warny,,1969,Belgian-born Palynologist
Terry Wilson,,1954,"Geologist-tectonics specialist,"
